COUNTER|NAME|RATING|ADDRESS|PHONE|BUDGET|CUISINE
385|Clear Moon|3.0 star rating|78 East 3rd AveSan Mateo, CA 94401|(650) 343-1000||Indian
386|Diablo’s JJ Taqueria|4.5 star rating|1302 Old Bayshore HwyBurlingame, CA 94010|(650) 513-1706|$|Mexican
387|Stacks|3.5 star rating|361 California DrBurlingame, CA 94010|(650) 579-1384|$$|"Breakfast & Brunch,
                    Burgers,
                    Coffee & Tea"
388|Cherimoya Vietnamese Cafe|4.0 star rating|283 Lorton AveBurlingame, CA 94010|(650) 342-1812|$|"Vietnamese,
                    Bubble Tea,
                    Sandwiches"
389|The Field club|4.5 star rating|742 Polhemus RdSan Mateo, CA 94402|(650) 235-9454|$$$|"Sports Bars,
                    American (New)"
390|Mokutanya|4.0 star rating|1155 California DrBurlingame, CA 94010|(650) 348-9388|$$|Japanese
391|Godfather’s Burger Lounge|4.0 star rating|1500 El Camino RealBelmont, CA 94002|(650) 637-9257|$$|"Burgers,
                    American (New)"
391|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
392|Stacks|3.5 star rating|361 California DrBurlingame, CA 94010|(650) 579-1384|$$|"Breakfast & Brunch,
                    Burgers,
                    Coffee & Tea"
393|Tai Wu Mr Fong’s Restaurant|4.0 star rating|1080 Foster City BlvdFoster City, CA 94404|(650) 638-0168|$|"Seafood,
                    Cantonese"
394|Steelhead Brewing Company|3.0 star rating|333 California DrBurlingame, CA 94010|(650) 344-6050|$$|"American (Traditional),
                    Breweries"
395|Chippie Whip||San Mateo, CA 94403|(650) 703-1709||American (New)
396|Young Can Wok|4.5 star rating|1200 BroadwayBurlingame, CA 94010|(650) 343-3322|$$|Chinese
397|Rangoon Ruby|3.5 star rating|1219 Burlingame AveBurlingame, CA 94010|(650) 381-9756|$$|"Burmese,
                    Asian Fusion,
                    Cocktail Bars"
398|Taqueria El Metate|4.0 star rating|120 Harbor BlvdBelmont, CA 94002|(650) 595-1110|$|Mexican
399|Leann’s Cafe|3.5 star rating|777 Airport BlvdBurlingame, CA 94010|(650) 342-8248|$$|Diners
400|Seabreeze Cafe|4.5 star rating|111 Anza BlvdBurlingame, CA 94010|(650) 344-3355|$|Sandwiches
401|Fare, PDQ|4.0 star rating|1480 El Camino RealBelmont, CA 94002|(650) 595-3273|$|"Sandwiches,
                    American (Traditional),
                    Fast Food"
4001|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
4002|Sweet Basil Thai Cuisine|4.0 star rating|1473 Beach Park BlvdFoster City, CA 94404|(650) 212-5788|$$|"Thai,
                    Asian Fusion"
4003|Bel Mateo Snack Bar|3.0 star rating|4330 Olympic AvenueSan Mateo, CA 94403|(650) 286-1175||Restaurants
4004|Sushi Monster|4.0 star rating|955 Ralston AveBelmont, CA 94002|(650) 595-3965|$$|"Sushi Bars,
                    Japanese"
4005|Yangon|4.0 star rating|1136 BroadwayBurlingame, CA 94010|(650) 348-8848|$$|"Chinese,
                    Burmese"
4006|Shabu House|4.0 star rating|1150 Paloma AveBurlingame, CA 94010|(650) 558-8800|$$|"Japanese,
                    Hot Pot"
4007|Clear Moon|3.0 star rating|78 East 3rd AveSan Mateo, CA 94401|(650) 343-1000||Indian
4008|Shalizaar|3.5 star rating|300 El Camino RealBelmont, CA 94002|(650) 596-9000|$$|Persian/Iranian
4009|Jacks Restaurant and Bar||1592 Vista Del SolSan Mateo, CA 94404|||American (New)
4010|La Corneta Taqueria|3.5 star rating|1123 Burlingame AveBurlingame, CA 94010|(650) 340-1300|$|"Mexican,
                    Caterers"
4011|Il Fornaio|3.0 star rating|327 Lorton AvenueBurlingame, CA 94010|(650) 375-8000|$$|"Italian,
                    Seafood,
                    Pizza"
411|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
412|Mariners Point Bar & Grill|4.0 star rating|2401 E 3rd AveFoster City, CA 94404|(650) 573-7812|$|"Bars,
                    American (Traditional)"
413|Il Fornaio|3.0 star rating|327 Lorton AvenueBurlingame, CA 94010|(650) 375-8000|$$|"Italian,
                    Seafood,
                    Pizza"
414|Lorenzo’s Sandwich Shop|4.5 star rating|911 Villa AveBelmont, CA 94002|(650) 592-4321|$|Sandwiches
415|Plaza Gourmet Delicatessen|4.0 star rating|929 Edgewater BlvdFoster City, CA 94404|(650) 638-0213|$|Delis
416|Cleopatra’s Mediterranean Food||2210 S El Camino RealSan Mateo, CA 94403|(650) 349-7419||Mediterranean
417|CJ’s Gourmet Deli|4.0 star rating|290 Primrose RdBurlingame, CA 94010|(650) 348-3117|$|"Delis,
                    Sandwiches"
418|Little Caesars Pizza|3.0 star rating|4060 S El Camino RealSan Mateo, CA 94403|(650) 341-6161|$|Pizza
419|La Corneta Taqueria|3.5 star rating|1123 Burlingame AveBurlingame, CA 94010|(650) 340-1300|$|"Mexican,
                    Caterers"
420|Shalizaar|3.5 star rating|300 El Camino RealBelmont, CA 94002|(650) 596-9000|$$|Persian/Iranian
421|Fika Cafe|5.0 star rating|480 Primrose RdBurlingame, CA 94010||$$$|Cafes
421|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
422|Olives|3.5 star rating|969-J Edgewater BlvdFoster City, CA 94404|(650) 312-1515|$|"Greek,
                    Desserts"
423|37 North Restaurant and Bar|3.5 star rating|835 Airport BlvdBurlingame, CA 94010|(650) 373-2237|$$|"Gastropubs,
                    American (New),
                    Cocktail Bars"
424|The East Window Asian Cuisine||105 W 25th AveSan Mateo, CA 94403|(650) 349-5974||Mexican
425|McGraw’s Bar & Grill|4.0 star rating|864 El Camino RealBelmont, CA 94002|(650) 595-9531|$$|"Pubs,
                    American (New),
                    American (Traditional)"
426|Adam’s Grub Truck|4.0 star rating||(415) 307-8844|$$|"Sandwiches,
                    Asian Fusion,
                    Food Trucks"
427|Soon’s Tofu and Korean BBQ|3.5 star rating|1062 Foster City BlvdFoster City, CA 94404|(650) 286-0860|$$|Korean
428|Sesame Korean Cuisine|4.0 star rating|1355 BroadwayBurlingame, CA 94010|(650) 347-3717|$$|Korean
429|The Iron Gate|4.0 star rating|1360 El Camino RealBelmont, CA 94002|(650) 592-7893|$$$|"French,
                    American (Traditional)"
430|Rocca Ristorante|4.0 star rating|1205 BroadwayBurlingame, CA 94010|(650) 344-3900|$$|Italian
431|Kenta Ramen|4.0 star rating|1495 Beach Park BlvdFoster City, CA 94404|(650) 212-2883|$$|Japanese
431|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
432|Il Pastaio||4th StSan Mateo, CA 94497|||Italian
433|Vivace Ristorante|4.0 star rating|1910 Ralston AveBelmont, CA 94002|(650) 637-0611|$$|Italian
434|The Plant Cafe Organic|3.0 star rating|1395 Burlingame AveBurlingame, CA 94010|(650) 342-0242|$$|"Breakfast & Brunch,
                    Gluten-Free,
                    Vegan"
435|Coconut Bay|3.5 star rating|1107 Howard AveBurlingame, CA 94010|(650) 558-8268|$$|Thai
436|Big Joe’s Cafe|4.0 star rating|1251 BroadwayBurlingame, CA 94010|(650) 558-9519|$$|"American (Traditional),
                    Seafood,
                    Breakfast & Brunch"
437|Café Figaro|4.0 star rating|1318 BroadwayBurlingame, CA 94010|(650) 344-8277|$$|Italian
438|The Van’s Restaurant|3.5 star rating|815 Belmont AveBelmont, CA 94002|(650) 591-6525|$$$|"Steakhouses,
                    American (Traditional),
                    Sandwiches"
439|Falafel Tazah|4.5 star rating|256 Redwood Shores PkwyRedwood City, CA 94065|(650) 622-9983|$$|"Middle Eastern,
                    Falafel"
440|Jimmy’s Cafe - Temp. CLOSED|4.5 star rating|1094 Alameda De Las PulgasBelmont, CA 94002|(650) 632-1983|$|"Coffee & Tea,
                    Delis,
                    Sandwiches"
441|Deli and Fine Food||851 N San Mateo DriveSan Mateo, CA 94401|(650) 347-0149||Restaurants
441|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
442|Big Joe’s Cafe|4.0 star rating|1251 BroadwayBurlingame, CA 94010|(650) 558-9519|$$|"American (Traditional),
                    Seafood,
                    Breakfast & Brunch"
443|Falafel Tazah|4.5 star rating|256 Redwood Shores PkwyRedwood City, CA 94065|(650) 622-9983|$$|"Middle Eastern,
                    Falafel"
444|Tapenade Mediterranean Grill||1770 S Amphlett BoulevardSan Mateo, CA 94402|(650) 653-6008||Restaurants
445|New World Cafe|4.5 star rating|833 Mahler RdBurlingame, CA 94010|(650) 239-9750|$$|"Cafes,
                    Peruvian,
                    Mediterranean"
446|Maverick Jack’s|4.0 star rating|1190 California DrBurlingame, CA 94010|(650) 437-5471|$$|"American (New),
                    Burgers,
                    Beer, Wine & Spirits"
447|Coconut Bay|3.5 star rating|1107 Howard AveBurlingame, CA 94010|(650) 558-8268|$$|Thai
448|Rossi’s Cafe||951 Mariners Island BlvdSan Mateo, CA 94404|(650) 345-9132||Delis
449|Bonne Sante|4.0 star rating|1184 BroadwayBurlingame, CA 94012|(650) 342-1529|$|"Sandwiches,
                    Burgers,
                    American (Traditional)"
450|Il Piccolo Caffe|4.0 star rating|1219  BroadwayBurlingame, CA 94010|(650) 348-4147|$|"Coffee & Tea,
                    Wine Bars,
                    Italian"
451|Rangoon Ruby|3.5 star rating|1000 6th AveBelmont, CA 94002|(650) 591-4156|$$|"Burmese,
                    Asian Fusion,
                    Cocktail Bars"
451|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
452|Mistral Restaurant & Bar|3.5 star rating|370 Bridge PkwyRedwood City, CA 94065|(650) 802-9222|$$$|American (New)
453|Chippie Whip||San Mateo, CA 94403|(650) 703-1709||American (New)
454|Pizza My Heart|3.5 star rating|235 Primrose RdBurlingame, CA 94010|(650) 340-0000|$|"Pizza,
                    Italian"
455|Barracuda Japanese Restaurant|3.5 star rating|347 Primrose RdBurlingame, CA 94010|(650) 548-0300|$$|"Sushi Bars,
                    Japanese"
456|Joy Restaurant|3.5 star rating|1489 Beach Park BlvdFoster City, CA 94404|(650) 345-1762|$$|"Chinese,
                    Taiwanese,
                    Diners"
457|Philly’s Cheese Steak Shop|3.5 star rating|729 California DrBurlingame, CA 94010|(650) 342-8200|$|Sandwiches
458|Il Pastaio||4th StSan Mateo, CA 94497|||Italian
459|Cleopatra’s Mediterranean Food||2210 S El Camino RealSan Mateo, CA 94403|(650) 349-7419||Mediterranean
460|The Field club|4.5 star rating|742 Polhemus RdSan Mateo, CA 94402|(650) 235-9454|$$$|"Sports Bars,
                    American (New)"
461|Broadway Prime|3.5 star rating|1316 Broadway AveBurlingame, CA 94010|(650) 558-8801|$$$|"Steakhouses,
                    American (Traditional)"
461|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
462|Sam’s Italian Sandwich|3.5 star rating|1080 Howard AveBurlingame, CA 94010|(650) 342-7267|$|"Delis,
                    Sandwiches"
463|Pizza My Heart|3.5 star rating|235 Primrose RdBurlingame, CA 94010|(650) 340-0000|$|"Pizza,
                    Italian"
464|Broadway Prime|3.5 star rating|1316 Broadway AveBurlingame, CA 94010|(650) 558-8801|$$$|"Steakhouses,
                    American (Traditional)"
465|La Nortenita Tortilla Factory||1037 N Amphlett BlvdSan Mateo, CA 94401|(650) 347-3977||Restaurants
466|Tabla Indian Restaurant|3.5 star rating|1088 Shell BlvdFoster City, CA 94404|(650) 638-1555|$$|Indian
467|The East Window Asian Cuisine||105 W 25th AveSan Mateo, CA 94403|(650) 349-5974||Mexican
468|Chez Saigon|3.5 star rating|1316 El Camino RealBelmont, CA 94002|(650) 591-9888|$$|"Vietnamese,
                    Thai"
469|Chicken Time World||2555 Flores StSan Mateo, CA 94403|(415) 539-0224||Chicken Wings
470|Broadway Grill|3.5 star rating|1400 BroadwayBurlingame, CA 94010|(650) 343-9333|$$|"American (Traditional),
                    Steakhouses,
                    Chicken Wings"
471|China Village Seafood Restaurant|3.5 star rating|600 Ralston AveBelmont, CA 94002|(650) 593-1831|$$|"Dim Sum,
                    Seafood"
471|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
472|Broadway Grill|3.5 star rating|1400 BroadwayBurlingame, CA 94010|(650) 343-9333|$$|"American (Traditional),
                    Steakhouses,
                    Chicken Wings"
473|"FIRE | VINE Grill & Bar and Windows On The Bay"|3.5 star rating|600 Airport BoulevardBurlingame, CA 94010|(650) 340-8500|$$|"Bars,
                    American (New)"
474|CreoLa|4.0 star rating|344 El Camino RealSan Carlos, CA 94070|(650) 654-0882|$$|Cajun/Creole
475|Cuisinett|4.5 star rating|1105 San Carlos AveSan Carlos, CA 94070|(650) 453-3390|$$|French
476|Pizza My Heart|3.5 star rating|235 Primrose RdBurlingame, CA 94010|(650) 340-0000|$|"Pizza,
                    Italian"
477|Tabla Indian Restaurant|3.5 star rating|1088 Shell BlvdFoster City, CA 94404|(650) 638-1555|$$|Indian
478|China Village Seafood Restaurant|3.5 star rating|600 Ralston AveBelmont, CA 94002|(650) 593-1831|$$|"Dim Sum,
                    Seafood"
479|Rogin Restaurant||215 E 3rd AveSan Mateo, CA 94401|(650) 348-3890||Restaurants
480|Marina Plaza Shopping Center Hot Wok Ca Fe||2960 S Norfolk StSan Mateo, CA 94403|(650) 573-1350||Chinese
481|Shanghai East Restaurant||105 W 25th AvenueSan Mateo, CA 94403|(650) 522-9098||Restaurants
481|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
482|The Spot Asian Kitchen|4.0 star rating|240 Redwood Shores PkwyRedwood City, CA 94065|(650) 631-8282|$$|Chinese
483|Crystal Springs Deli & Catering||118 De Anza BlvdSan Mateo, CA 94402|(650) 525-1970|$|Delis
484|New England Lobster Market & Eatery|4.0 star rating|824 Cowan RdBurlingame, CA 94010|(650) 443-1559|$$|"Seafood Markets,
                    Seafood"
485|Delizie|4.5 star rating|1107 San Carlos AveSan Carlos, CA 94070|(650) 486-1539|$$|Italian
486|Cafe Capuchino|4.5 star rating|1158 Capuchino AveBurlingame, CA 94010|(650) 342-2669|$|"Coffee & Tea,
                    Cafes"
487|Oracle Cafe 600|4.0 star rating|600 Oracle PkwyRedwood City, CA 94065||$|"Indian,
                    Mexican,
                    Asian Fusion"
488|Sushi Lover|3.5 star rating|550 Masonic WayBelmont, CA 94002|(650) 593-2291|$$|"Japanese,
                    Sushi Bars"
489|Avanti Pizza Belmont|3.5 star rating|2040 Ralston AveBelmont, CA 94002|(650) 508-1000|$$|"Pizza,
                    Sandwiches,
                    Gluten-Free"
490|Rogin Restaurant||215 E 3rd AveSan Mateo, CA 94401|(650) 348-3890||Restaurants
491|Marina Plaza Shopping Center Hot Wok Ca Fe||2960 S Norfolk StSan Mateo, CA 94403|(650) 573-1350||Chinese
491|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
492|Crystal Springs Deli & Catering||118 De Anza BlvdSan Mateo, CA 94402|(650) 525-1970|$|Delis
493|Oracle Cafe 600|4.0 star rating|600 Oracle PkwyRedwood City, CA 94065||$|"Indian,
                    Mexican,
                    Asian Fusion"
494|The Grill House|4.0 star rating|246 Redwood Shores PkwyRedwood City, CA 95065|(650) 264-8017|$$|"American (New),
                    Bars,
                    Barbeque"
495|ABC Seafood Restaurant|2.5 star rating|973 E Hillsdale BlvdFoster City, CA 94404|(650) 328-2288|$$|"Dim Sum,
                    Seafood"
496|TOWN San Carlos|4.0 star rating|716 Laurel StSan Carlos, CA 94070|(650) 595-3003|$$$|"Steakhouses,
                    American (Traditional),
                    Bars"
497|Silver Fork|4.5 star rating|Howard and PrimroseBurlingame, CA 94010|||"Food Stands,
                    Mexican"
498|Emelina’s Peruvian Restaurant|4.0 star rating|1065 Holly StSan Carlos, CA 94070|(650) 591-1133|$$|"Peruvian,
                    Latin American,
                    Seafood"
499|El Torito|3.0 star rating|388 Vintage Park DrFoster City, CA 94404|(650) 574-6844|$$|"Mexican,
                    Bars,
                    Buffets"
500|Steve’s Cafe & Catering|4.5 star rating|303 Twin Dolphin DrRedwood City, CA 94065|(650) 508-9424|$|"Caterers,
                    Sandwiches"
501|Peacock|3.0 star rating|520 Masonic WayBelmont, CA 94002|(650) 632-1902|$$|Indian
501|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
502|Fajita Flats|2.0 star rating|Food CourtSan Mateo, CA 94403|(650) 312-1899|$|Mexican
503|Shanghai East Restaurant||105 W 25th AvenueSan Mateo, CA 94403|(650) 522-9098||Restaurants
504|Max’s Opera Cafe|3.0 star rating|1250 Bayshore HwyBurlingame, CA 94010|(650) 342-6297|$$|"American (New),
                    Cafes"
505|Coyote’s Mexican Cafe|3.5 star rating|1003 AlamedaBelmont, CA 94002|(650) 595-1422|$|Mexican
506|Classic 101 Burgers & Shakes|3.5 star rating|575 Ralston AveBelmont, CA 94002|(650) 592-0505|$|Burgers
507|Peacock|3.0 star rating|520 Masonic WayBelmont, CA 94002|(650) 632-1902|$$|Indian
508|Locanda Positano|4.0 star rating|617 Laurel StSan Carlos, CA 94070|(650) 591-5700|$$|"Italian,
                    Pizza"
509|Rendezvous|4.0 star rating|350 Twin Dolphin DrRedwood City, CA 94065|(650) 503-3445|$|Cafes
510|Sushi Kuu|3.5 star rating|1001 Alameda De Las PulgasBelmont, CA 94002|(650) 591-3474|$$|Japanese
511|Juban Yakiniku House|3.0 star rating|1204 BroadwayBurlingame, CA 94010|(650) 347-2300|$$|"Japanese,
                    Barbeque"
511|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
512|El Torito|3.0 star rating|388 Vintage Park DrFoster City, CA 94404|(650) 574-6844|$$|"Mexican,
                    Bars,
                    Buffets"
513|Bay Leaf Cafe and Catering|4.5 star rating|1201 Radio RdRedwood City, CA 94065|(650) 610-9109|$|Delis
514|Steve’s Cafe & Catering|4.5 star rating|303 Twin Dolphin DrRedwood City, CA 94065|(650) 508-9424|$|"Caterers,
                    Sandwiches"
515|See U|4.0 star rating|1465 Beach Park BlvdFoster City, CA 94404|(650) 357-0088|$|Cafes
516|Village Host Pizza|3.5 star rating|1201 BroadwayBurlingame, CA 94010|(650) 347-2728|$$|"Pizza,
                    Salad,
                    Italian"
517|Hobee’s Restaurant|3.5 star rating|1101 Shoreway RdBelmont, CA 94002|(650) 596-0400|$$|Breakfast & Brunch
518|Mr. Pickle’s Sandwich Shop|3.5 star rating|891 Ralston AveBelmont, CA 94002|(650) 631-3653|$|Sandwiches
519|El Charrito|4.0 star rating|1100 Holly StSan Carlos, CA 94070|(650) 654-1400|$|"Mexican,
                    Imported Food"
520|BullsHead Express|4.0 star rating|819 Mitten RdBurlingame, CA 94010|(650) 692-4217|$$|"Burgers,
                    Sushi Bars"
521|The Clubhouse Bistro|3.0 star rating|1221 Chess DrFoster City, CA 94404|(650) 570-5700|$$|"American (Traditional),
                    Dance Clubs,
                    Sports Bars"
521|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
522|Cafe Bliss|3.5 star rating|2039 Ralston AveBelmont, CA 94002|(650) 595-1520|$$|"Breakfast & Brunch,
                    American (Traditional)"
523|Old County Deli|4.0 star rating|1331 Old County RdBelmont, CA 94002|(650) 593-6376|$|"Delis,
                    Food,
                    Sandwiches"
524|Blue Line Pizza|4.0 star rating|1201 San Carlos AveSan Carlos, CA 94070|(650) 610-0200|$$|"Pizza,
                    Salad,
                    Gluten-Free"
525|Specialty’s Café & Bakery|3.5 star rating|1100 Island DrRedwood City, CA 94065|(877) 502-2837|$|"Sandwiches,
                    Cafes,
                    Salad"
526|El Maguey Taqueria|4.0 star rating|1065  Holly StSan Carlos, CA 94070|(650) 591-3520|$|Mexican
527|The Refuge|4.0 star rating|963 Laurel StSan Carlos, CA 94070|(650) 598-9813|$$|"Sandwiches,
                    Burgers,
                    Gastropubs"
528|Max’s Restaurant and Bar-Burlingame|3.5 star rating|1250 Old Bayshore HwyBurlingame, CA 94010|(650) 342-6297|$$|"American (New),
                    Bars"
529|Rangoon Ruby|3.5 star rating|680 Laurel StSan Carlos, CA 94070|(650) 592-1852|$$|"Burmese,
                    Asian Fusion"
530|San Carlos Bar & Grill|4.0 star rating|648 El Camino RealSan Carlos, CA 94070|(650) 593-7019|$$|"Mexican,
                    Seafood,
                    American (New)"
531|Sirayvah Organic Thai|4.0 star rating|366 El Camino RealSan Carlos, CA 94070|(650) 637-1500|$$|"Thai,
                    Desserts,
                    Seafood"
531|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
532|The Refuge|4.0 star rating|963 Laurel StSan Carlos, CA 94070|(650) 598-9813|$$|"Sandwiches,
                    Burgers,
                    Gastropubs"
533|San Carlos Bar & Grill|4.0 star rating|648 El Camino RealSan Carlos, CA 94070|(650) 593-7019|$$|"Mexican,
                    Seafood,
                    American (New)"
534|In-N-Out Burger|4.0 star rating|445 Industrial RdSan Carlos, CA 94070|(800) 786-1000|$|"Burgers,
                    Fast Food"
535|Marvin Gardens|3.5 star rating|1160 Old County RdBelmont, CA 94002|(650) 592-6154|$$|"American (Traditional),
                    Bars"
536|Rangoon Ruby|3.5 star rating|680 Laurel StSan Carlos, CA 94070|(650) 592-1852|$$|"Burmese,
                    Asian Fusion"
537|Totos Pizzeria of San Bru|5.0 star rating|1250 B El Camino RealBelmont, CA 94002|(650) 631-8686||"Pizza,
                    Italian,
                    Sandwiches"
538|Max’s Restaurant and Bar-Burlingame|3.5 star rating|1250 Old Bayshore HwyBurlingame, CA 94010|(650) 342-6297|$$|"American (New),
                    Bars"
539|Emergency BBQ|4.0 star rating|765 Old County RdSan Carlos, CA 94070|(650) 592-9117|$$|Barbeque
540|Devliish Bites|2.0 star rating|San Mateo, CA|||"Hot Dogs,
                    Street Vendors,
                    Mexican"
541|Blue Sky Café|3.5 star rating|1625 El Camino RealBelmont, CA 94002|(650) 595-0228|$|Chinese
541|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
542|Sky Kitchen|4.0 star rating|620 Airport DrSan Carlos, CA 94070|(650) 595-0464|$$|"Breakfast & Brunch,
                    American (Traditional)"
543|The New Italian||Hillsdale Mall Food CrtSan Mateo, CA|(650) 347-3333||Italian
544|Sea Link Cafe|4.0 star rating|399 Marine PkwyRedwood City, CA 94065|(650) 780-5756|$|"Coffee & Tea,
                    Sandwiches"
545|Yama Sushi Restaurant|3.0 star rating|889 Ralston AveBelmont, CA 94002|(650) 508-8600|$$|"Japanese,
                    Sushi Bars"
546|Which Wich - Belmont Village|3.0 star rating|1000 El Camino RealBelmont, CA 94002|(650) 591-9424|$|Sandwiches
547|Tap and Tavern|3.0 star rating|150 Anza BlvdBurlingame, CA 94010||$$|"American (New),
                    Steakhouses"
548|Toto’s Pizzeria|3.5 star rating|1250 El Camino RealBelmont, CA 94002|(650) 631-8686|$$|Pizza
549|Izzy’s San Carlos|3.5 star rating|525 Skyway RdSan Carlos, CA 94070|(650) 654-2822|$$$|"Steakhouses,
                    American (New)"
550|Blue Sky Café|3.5 star rating|1625 El Camino RealBelmont, CA 94002|(650) 595-0228|$|Chinese
551|Bay Area Bagels|3.5 star rating|260 Lorton AveBurlingame, CA 94010|(650) 343-3633|$|"Bagels,
                    Delis,
                    Sandwiches"
551|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
552|Rise Pizzeria|5.0 star rating|1451 Burlingame AveBurlingame, CA 94010|(650) 684-7473|$$|Pizza
553|Village Host Pizza & Grill|3.5 star rating|1017 Alameda De Las PulgasBelmont, CA 94002|(650) 591-6791|$$|"Pizza,
                    American (Traditional)"
554|Sky Kitchen|4.0 star rating|620 Airport DrSan Carlos, CA 94070|(650) 595-0464|$$|"Breakfast & Brunch,
                    American (Traditional)"
555|Red Hot Chilli Pepper|3.5 star rating|1125 San Carlos AveSan Carlos, CA 94070|(650) 453-3055|$$|"Chinese,
                    Asian Fusion,
                    Indian"
556|Joe’s Cafe By The Bay|3.5 star rating|1669 Old  Bayshore HwyBurlingame, CA 94010|(650) 692-4000|$|"Sandwiches,
                    Breakfast & Brunch"
557|King Chuan Restaurant|3.5 star rating|1188 San Carlos AveSan Carlos, CA 94070|(650) 593-1035|$$|Chinese
558|Panda Express|3.0 star rating|1453 Burlingame AveBurlingame, CA 94010|(650) 579-2580|$|"Chinese,
                    Fast Food"
559|St. James Gate Pub & Restaurant|3.5 star rating|1410 Old County RdBelmont, CA 94002|(650) 592-5923|$$|"Irish,
                    American (Traditional),
                    Pubs"
560|Rustic House Oyster Bar and Grill|4.0 star rating|920 El Camino RealSan Carlos, CA 94070|(650) 425-3474|$$|"Seafood,
                    Bars,
                    American (Traditional)"
561|Flights 101 Club Lounge|4.0 star rating|1800 Old Bayshore HwyBurlingame, CA 94010|(650) 692-9100|$$|"Lounges,
                    Steakhouses"
561|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
562|Elephant Bar Restaurant|3.0 star rating|1600 Old Bayshore HighwayBurlingame, CA 94010|(650) 259-9585|$$|"Bars,
                    Asian Fusion,
                    American (New)"
563|Little Lucca Sandwich Shop|4.0 star rating|1809 El Camino RealBurlingame, CA 94010|(650) 697-8389|$|Sandwiches
564|Casa Chapina||140 2nd AvenueSan Mateo, CA 94401|(650) 342-0115||Restaurants
565|Depot Cafe|4.0 star rating|599 El Camino RealSan Carlos, CA 94070|(650) 595-0555|$|"Breakfast & Brunch,
                    American (Traditional)"
566|Village Host Pizza & Grill|3.5 star rating|1017 Alameda De Las PulgasBelmont, CA 94002|(650) 591-6791|$$|"Pizza,
                    American (Traditional)"
567|Wokitchen|3.5 star rating|407 Old County RdBelmont, CA 94002|(650) 648-3965|$|"Food Trucks,
                    Chinese"
568|St. James Gate Pub & Restaurant|3.5 star rating|1410 Old County RdBelmont, CA 94002|(650) 592-5923|$$|"Irish,
                    American (Traditional),
                    Pubs"
569|Gherkins Sandwich Shop|4.0 star rating|635 Laurel StSan Carlos, CA 94070|(650) 593-3695|$|"Sandwiches,
                    Breakfast & Brunch,
                    Burgers"
570|Pranzi Italian Bistro|4.0 star rating|777 Laurel StSan Carlos, CA 94070|(650) 453-3768|$$|"Italian,
                    Mediterranean"
571|West Park Bistro|4.0 star rating|788 Laurel StSan Carlos, CA 94070|(650) 453-3313|$$$|American (New)
571|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
572|La Corneta Taqueria|4.0 star rating|1147 San Carlos AveSan Carlos, CA 94070|(650) 551-1400|$|"Mexican,
                    Caterers"
573|The Cask|3.5 star rating|782 Laurel StSan Carlos, CA 94070|(650) 610-0438|$$|"Wine Bars,
                    American (New),
                    Burgers"
574|Bay 223|3.5 star rating|223 Twin Dolphin DrRedwood Shores, CA 94065|(650) 598-9000|$$$|"French,
                    Bars"
575|West Park Bistro|4.0 star rating|788 Laurel StSan Carlos, CA 94070|(650) 453-3313|$$$|American (New)
576|Mountain Mike’s Pizza|3.0 star rating|390 El Camino RealBelmont, CA 94002|(650) 508-9090|$$|Pizza
